"7391.erp Properties"
"General"
"Item","Value"
"Folder","C:\Users\Administrador\Desktop\GonoGo 15-21"
"Type","ERP/W Data"
"File collection date","8/16/2016 16:29:47.73"
"Erp file version","4"
"Subject number","4"
"Collection start time","16:29:47.73"
"Collection end time","16:38:13.29"
"Data acquisition board","Natl. Instr. PCI-6071E (Dev. 1)"
"Data acquisition type","Trial-by-trial"
"Number of trials","500"
"Experiment type","Legacy"

"Channels"
"Channel","Type","Gain","Min. mV","Max. mV","Rate (Hz)","Act. Rate","Electrode","Label"
"1","Scalp","1.00","-100.00","100.00","200.00","200.3606","Fz","Fz"
"2","Scalp","1.00","-100.00","100.00","200.00","200.3606","Pz","Pz"
"3","Scalp","1.00","-100.00","100.00","200.00","200.3606","T3","T3"
"4","Scalp","1.00","-100.00","100.00","200.00","200.3606","T4","T4"
"5","Eye (V)","1.00","-500.00","500.00","200.00","200.3606","","vEOG"
"6","Scalp","1.00","-100.00","100.00","200.00","200.3606","T5","T5"
"7","Scalp","1.00","-100.00","100.00","200.00","200.3606","T6","T6"
"8","Scalp","1.00","-100.00","100.00","200.00","200.3606","C3","C3"
"9","Scalp","1.00","-100.00","100.00","200.00","200.3606","C4","C4"
"10","Scalp","1.00","-100.00","100.00","200.00","200.3606","M1","M1"
"11","Scalp","1.00","-100.00","100.00","200.00","200.3606","M2","M2"
"12","Scalp","1.00","-100.00","100.00","200.00","200.3606","F3","F3"
"13","Scalp","1.00","-100.00","100.00","200.00","200.3606","F4","F4"
"14","Scalp","1.00","-100.00","100.00","200.00","200.3606","F7","F7"
"15","Scalp","1.00","-100.00","100.00","200.00","200.3606","F8","F8"
"16","Scalp","1.00","-100.00","100.00","200.00","200.3606","O1","O1"
"17","Scalp","1.00","-100.00","100.00","200.00","200.3606","O2","O2"
"18","Scalp","1.00","-100.00","100.00","200.00","200.3606","FC1","FC1"
"19","Scalp","1.00","-100.00","100.00","200.00","200.3606","FC2","FC2"
"20","Scalp","1.00","-100.00","100.00","200.00","200.3606","FC5","FC5"
"21","Scalp","1.00","-100.00","100.00","200.00","200.3606","FC6","FC6"
"22","Scalp","1.00","-100.00","100.00","200.00","200.3606","CP1","CP1"
"23","Scalp","1.00","-100.00","100.00","200.00","200.3606","CP2","CP2"
"24","Scalp","1.00","-100.00","100.00","200.00","200.3606","CP5","CP5"
"25","Scalp","1.00","-100.00","100.00","200.00","200.3606","CP6","CP6"
"26","Scalp","1.00","-100.00","100.00","200.00","200.3606","PO3","PO3"
"27","Scalp","1.00","-100.00","100.00","200.00","200.3606","PO4","PO4"
"28","Scalp","1.00","-100.00","100.00","200.00","200.3606","PO7","PO7"
"29","Scalp","1.00","-100.00","100.00","200.00","200.3606","PO8","PO8"
"30","Scalp","1.00","-100.00","100.00","200.00","200.3606","P3","P3"
"31","Scalp","1.00","-100.00","100.00","200.00","200.3606","P4","P4"

"Trials"
"Trial","ID","Pre Set.","Pre Act.","Trial Set.","Trial Act.","Post Set.","Post Act."
"180","3","100","100","801","801","100","100"
"181","2","100","100","801","801","100","100"
"182","2","100","100","801","801","100","100"
"183","2","100","100","801","801","100","100"
"184","2","100","100","801","801","100","100"
"185","2","100","100","801","801","200","200"
"186","3","100","100","801","801","100","100"
"187","3","100","100","801","801","100","100"
"188","2","100","100","801","801","100","100"
"189","2","100","100","801","801","200","200"
"190","2","100","100","801","801","100","100"
"191","3","100","100","801","801","100","100"
"192","3","100","100","801","801","100","100"
"193","3","100","100","801","801","100","100"
"194","2","100","100","801","801","100","100"
"195","3","100","100","801","801","200","200"
"196","3","100","100","801","801","100","100"
"197","2","100","100","801","801","100","100"
"198","3","100","100","801","801","100","100"
"199","3","100","100","801","801","100","100"
"200","2","100","100","801","801","200","200"
"201","3","100","100","801","801","100","100"
"202","2","100","100","801","801","100","100"
"203","2","100","100","801","801","100","100"
"204","3","100","100","801","801","100","100"
"205","3","100","100","801","801","200","200"
"206","2","100","100","801","801","100","100"
"207","3","100","100","801","801","100","100"
"208","2","100","100","801","801","100","100"
"209","2","100","100","801","801","100","100"
"210","3","100","100","801","801","100","100"
"211","2","100","100","801","801","100","100"
"212","2","100","100","801","801","100","100"
"213","2","100","100","801","801","100","100"
"214","2","100","100","801","801","100","100"
"215","2","100","100","801","801","200","200"
"216","3","100","100","801","801","100","100"
"217","3","100","100","801","801","100","100"
"218","2","100","100","801","801","100","100"
"219","2","100","100","801","801","100","100"
"220","2","100","100","801","801","100","100"
"221","3","100","100","801","801","100","100"
"222","2","100","100","801","801","100","100"
"223","2","100","100","801","801","100","100"
"224","3","100","100","801","801","100","100"
"225","3","100","100","801","801","100","100"
"226","2","100","100","801","801","100","100"
"227","2","100","100","801","801","200","200"
"228","3","100","100","801","801","100","100"
"229","2","100","100","801","801","100","100"
"230","3","100","100","801","801","100","100"
"231","2","100","100","801","801","200","200"
"232","3","100","100","801","801","100","100"
"233","3","100","100","801","801","100","100"
"234","2","100","100","801","801","100","100"
"235","2","100","100","801","801","100","100"
"236","2","100","100","801","801","100","100"
"237","3","100","100","801","801","100","100"
"238","3","100","100","801","801","100","100"
"239","3","100","100","801","801","100","100"
"240","3","100","100","801","801","100","100"
"241","3","100","100","801","801","100","100"
"242","3","100","100","801","801","100","100"
"243","2","100","100","801","801","100","100"
"244","3","100","100","801","801","200","200"
"245","3","100","100","801","801","100","100"
"246","2","100","100","801","801","100","100"
"247","3","100","100","801","801","100","100"
"248","2","100","100","801","801","100","100"
"249","3","100","100","801","801","100","100"
"250","2","100","100","801","801","100","100"
"251","3","100","100","801","801","200","200"
"252","2","100","100","801","801","100","100"
"253","2","100","100","801","801","100","100"
"254","3","100","100","801","801","100","100"
"255","2","100","100","801","801","100","100"
"256","3","100","100","801","801","100","100"
"257","2","100","100","801","803","100","98"
"258","2","100","100","801","801","100","100"
"259","2","100","100","801","805","100","96"
"260","2","100","100","801","801","100","100"
"261","3","100","100","801","804","100","97"
"262","3","100","100","801","803","100","98"
"263","2","100","100","801","801","100","100"
"264","2","100","100","801","801","100","100"
"265","2","100","100","801","801","100","100"
"266","3","100","100","801","801","100","100"
"267","2","100","100","801","801","100","100"
"268","2","100","100","801","801","100","100"
"269","2","100","100","801","801","100","100"
"270","3","100","100","801","801","100","100"
"271","2","100","100","801","801","100","100"
"272","2","100","100","801","801","100","100"
"273","3","100","100","801","801","100","100"
"274","3","100","100","801","801","100","100"
"275","2","100","100","801","801","100","100"
"276","2","100","100","801","801","100","100"
"277","2","100","100","801","801","100","100"
"278","3","100","100","801","801","100","100"
"279","3","100","100","801","801","100","100"
"280","3","100","100","801","801","100","100"
"281","2","100","100","801","801","200","200"
"282","3","100","100","801","801","100","100"
"283","3","100","100","801","801","100","100"
"284","3","100","100","801","801","100","100"
"285","3","100","100","801","801","100","100"
"286","2","100","100","801","801","100","100"
"287","3","100","100","801","801","200","200"
"288","2","100","100","801","801","100","100"
"289","2","100","100","801","801","100","100"
"290","2","100","100","801","801","100","100"
"291","3","100","100","801","801","100","100"
"292","2","100","100","801","801","100","100"
"293","3","100","100","801","801","100","100"
"294","2","100","100","801","801","100","100"
"295","2","100","100","801","801","100","100"
"296","2","100","100","801","801","100","100"
"297","2","100","100","801","801","200","200"
"298","3","100","100","801","801","100","100"
"299","2","100","100","801","801","100","100"
"300","2","100","100","801","801","100","100"
"301","3","100","100","801","801","100","100"
"302","2","100","100","801","801","100","100"
"303","3","100","100","801","801","100","100"
"304","3","100","100","801","801","100","100"
"305","3","100","100","801","801","100","100"
"306","3","100","100","801","801","100","100"
"307","2","100","100","801","801","100","100"
"308","3","100","100","801","801","100","100"
"309","2","100","100","801","801","100","100"
"310","2","100","100","801","801","100","100"
"311","3","100","100","801","801","100","100"
"312","2","100","100","801","801","100","100"
"313","3","100","100","801","801","100","100"
"314","2","100","100","801","801","200","200"
"315","3","100","100","801","801","100","100"
"316","3","100","100","801","801","100","100"
"317","2","100","100","801","801","100","100"
"318","2","100","100","801","801","100","100"
"319","3","100","100","801","801","100","100"
"320","2","100","100","801","801","100","100"
"321","2","100","100","801","801","200","200"
"322","2","100","102","801","799","100","100"
"323","2","100","100","801","801","100","100"
"324","3","100","100","801","801","100","100"
"325","2","100","100","801","801","100","100"
"326","2","100","100","801","801","100","100"
"327","2","100","100","801","801","100","100"
"328","3","100","100","801","801","100","100"
"329","3","100","100","801","801","100","100"
"330","3","100","100","801","801","100","100"
"331","2","100","100","801","801","200","200"
"332","2","100","100","801","801","100","100"
"333","3","100","100","801","801","100","100"
"334","2","100","100","801","801","100","100"
"335","3","100","100","801","801","100","100"
"336","2","100","100","801","801","100","100"
"337","2","100","100","801","801","100","100"
"338","2","100","100","801","801","100","100"
"339","2","100","100","801","801","200","200"
"340","3","100","100","801","801","100","100"
"341","2","100","100","801","801","100","100"
"342","2","100","100","801","801","100","100"
"343","2","100","100","801","801","100","100"
"344","2","100","100","801","801","100","100"
"345","2","100","100","801","801","100","100"
"346","2","100","100","801","801","100","100"
"347","2","100","100","801","801","200","200"
"348","2","100","100","801","801","100","100"
"349","2","100","100","801","801","100","100"
"350","3","100","100","801","801","100","100"
"351","3","100","100","801","801","100","100"
"352","3","100","100","801","801","100","100"
"353","2","100","100","801","801","100","100"
"354","2","100","100","801","801","100","100"
"355","2","100","100","801","801","100","100"
"356","2","100","100","801","801","100","100"
"357","2","100","100","801","801","200","200"
"358","3","100","100","801","801","100","100"
"359","3","100","100","801","801","100","100"
"360","3","100","100","801","801","100","100"
"361","2","100","100","801","801","0","0"
"362","2","100","100","801","801","100","100"
"363","2","100","100","801","801","100","100"
"364","2","100","100","801","801","100","100"
"365","2","100","100","801","801","100","100"
"366","2","100","100","801","801","100","100"
"367","2","100","100","801","801","100","100"
